qseqid	pident	min_pident	K	P	C	O	F	G	S
MK483607.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483626.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483633.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483593.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483610.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483628.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483639.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483629.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483643.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483594.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483619.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483637.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483511.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483521.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483526.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483525.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
KJ564231.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483513.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483520.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483519.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483518.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
KJ564220.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483527.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483524.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483514.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483386.1	99.153	99.153	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483390.1	99.153	99.153	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483389.1	99.153	99.153	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483377.1	99.153	99.153	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
MK483380.1	99.153	99.153	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata
KU668575.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius auratus
KU668579.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius auratus
KU668574.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius auratus
AP010775.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Cyprinus	Cyprinus carpio
KJ710708.1	100	100	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Aix	Aix galericulata
KC759527.1	100	100	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Mareca	Mareca penelope
EU755254.1	99.528	99.528	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos
X87854.1	99.528	99.528	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Cairina	Cairina moschata
DQ019124.1	95.261	95.261	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Cygnus	Cygnus olor
AY647203.1	100	100	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AY742527.1	97.727	97.727	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Lepomis	Lepomis macrochirus
AY742528.1	97.727	97.727	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Lepomis	Lepomis macrochirus
KM055379.1	100	100	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
MK548578.1	100	100	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
KM651784.1	100	100	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
KP259548.1	100	100	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
MH301072.1	100	100	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
AY742547.1	97.273	97.273	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
AY742546.1	97.273	97.273	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
HQ391897.1	100	100	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
AY742545.1	100	100	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
AY742544.1	100	100	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
FJ861706.1	100	100	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
MH301071.1	100	100	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
MH301070.1	100	100	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
MH301073.1	100	100	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
AF177135.1	98.78	98.78	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Strauzia	Strauzia vittigera
JF730435.1	98.095	98.095	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas acuta
KC984271.1	98.571	98.571	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas acuta
KF203133.1	98.571	98.571	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas acuta
KC771255.1	98.571	98.571	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas acuta
KT345702.1	97.619	97.619	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas acuta
EF380289.1	97.596	97.596	Eukaryota	Chordata	Aves	Charadriiformes	Alcidae	Fratercula	Fratercula corniculata
NR_076387.1	99.183	99.183	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter acetylenicus
KJ722069.1	100	100	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Aythya	Aythya americana
HQ907992.1	100	100	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus asotus
HM746661.1	100	100	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus asotus
JX087350.1	100	100	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus asotus
EU237481.1	97.337	97.337	Eukaryota	Porifera	Demospongiae	Spongillida	Spongillidae	Ephydatia	Ephydatia fluviatilis
LT158504.1	97.579	97.579	Eukaryota	Porifera	Demospongiae	Spongillida	Spongillidae	Ephydatia	Ephydatia fluviatilis
KX306822.1	95.211	95.211	Eukaryota	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Gloeotilopsis	Gloeotilopsis planctonica
CP046172.1	99.723	99.723	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia farcinica
CP023445.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	Actinosynnema mirum
CP029607.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	Actinosynnema mirum
NR_076647.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	Actinosynnema pretiosum
KX306823.1	95.211	95.211	Eukaryota	Chlorophyta	Ulvophyceae	Ulotrichales	Helicodictyaceae	Rhexinema	Rhexinema sarcinoideum
XM_005892262.2	100	100	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Bison	Bison bison
CP032221.1	98.645	98.645	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
KU140668.1	97.17	97.17	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Tadorna	Tadorna ferruginea
MN122926.1	95.283	95.283	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Tadorna	Tadorna ferruginea
KC984272.1	97.17	97.17	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Tadorna	Tadorna ferruginea
AB522678.1	98.23	98.23	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AB522681.1	98.374	98.374	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AB522683.1	99.18	99.18	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AB522680.1	98.319	98.319	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AB522669.1	99.18	99.18	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
FJ655267.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus
FJ655266.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus
FJ655265.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus
CP046700.1	95.146	95.146	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum pinnatisectum
CP046689.1	95.146	95.146	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum pinnatisectum
AY498703.1	100	100	Eukaryota	Mollusca	Bivalvia	Unionida	Unionidae	Lampsilis	Lampsilis siliquoidea
EF458408.1	95	95	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Chondrostoma	Chondrostoma nasus
AF081851.1	95	95	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Chondrostoma	Chondrostoma nasus
DQ447708.1	97.685	97.685	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Chondrostoma	Chondrostoma nasus
CP023699.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces venezuelae
GU071054.1	96.117	96.117	Eukaryota	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Nannopterum	Nannopterum auritus
KY231829.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus leuciscus
KR476946.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus leuciscus
DQ664300.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus leuciscus
KJ128810.1	100	100	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus leuciscus
CP033905.1	98.652	98.652	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bernardiae
CP050810.1	98.656	98.656	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bernardiae
CP029004.1	98.652	98.652	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bernardiae
CP033904.1	98.652	98.652	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bernardiae
CP012649.1	98.652	98.652	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bernardiae
CP028833.1	98.383	98.383	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bernardiae
CP029001.1	98.652	98.652	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bernardiae
EF380292.1	97.596	97.596	Eukaryota	Chordata	Aves	Charadriiformes	Alcidae	Cerorhinca	Cerorhinca monocerata
XM_032137552.1	100	100	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
XM_032137551.1	100	100	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
XM_032137550.1	100	100	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
XM_032137557.1	100	100	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
XM_032137555.1	100	100	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
XM_032137549.1	100	100	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
XM_032137572.1	100	100	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
XM_032137554.1	100	100	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
KC249067.1	98.148	98.148	Eukaryota	Arthropoda	Insecta	Hemiptera	Reduviidae	Triatoma	Triatoma circummaculata
AF324528.1	96.296	96.296	Eukaryota	Arthropoda	Insecta	Hemiptera	Reduviidae	Triatoma	Triatoma rubrovaria
AY035464.1	96.296	96.296	Eukaryota	Arthropoda	Insecta	Hemiptera	Reduviidae	Triatoma	Triatoma rubrovaria
KC248994.1	98.148	98.148	Eukaryota	Arthropoda	Insecta	Hemiptera	Reduviidae	Triatoma	Triatoma rubrovaria
CP023688.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridodiastaticus
CP025551.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridodiastaticus
CP029823.1	99.183	99.183	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces antimycoticus
DQ664292.1	96.818	96.818	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus idus
DQ664298.1	99.526	99.526	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus idus
